id,name,group,kind,realmIndex,realm,rarity,stack,effect,craftUse,source,npcSell,npcBuy,marketMin,marketMax,marketPolicy,bindPolicy,destroyOnUse,economicRole,runtimeStatus
it_scroll_recipe_foundation,Đan Phương: Trúc Cơ Đan,Bí tịch/Công thức,Công thức,3,Luyện Khí hậu (7-9),Cực phẩm,1,Mở công thức Trúc Cơ Đan,,Boss/Bí cảnh,,,1010,1280,market,bind_on_use,True,knowledge_sink,future_design
it_scroll_artifact,Luyện Khí Đồ Phổ - Sơ Thiên,Bí tịch/Công thức,Công thức,4,Trúc Cơ sơ,Thượng phẩm,1,Mở công thức pháp bảo đầu game,,Tông môn,,,1220,1550,market,bind_on_use,True,knowledge_sink,future_design
it_seed_cam_lo,Hạt Cam Lộ,Đời sống,Hạt giống,0,Phàm Nhân,Hạ phẩm,99,Trồng Cam Lộ,,Starter/NPC,30,,24,29,market,none,False,npc_ceiling_seed,mvp_contract
it_seed_ich_khi,Hạt Ích Khí,Đời sống,Hạt giống,1,Luyện Khí sơ (1-3),Hạ phẩm,99,Trồng Ích Khí,,NPC,30,,24,29,market,none,False,npc_ceiling_seed,mvp_contract
it_seed_tinh_tam,Hạt Tĩnh Tâm,Đời sống,Hạt giống,1,Luyện Khí sơ (1-3),Hạ phẩm,99,Trồng Tĩnh Tâm,,NPC,30,,24,29,market,none,False,npc_ceiling_seed,mvp_contract
it_water,Nước,Đời sống,Nông vụ,0,Phàm Nhân,Phàm,99,Dùng trồng cây và luyện Hồi Nguyên Hoàn,Hồi Nguyên Hoàn,NPC/node,10,,8,9,market,none,False,npc_ceiling_utility,mvp_contract
it_life_fishbait,Linh Nhĩ Mồi,Đời sống,Câu cá,0,Phàm Nhân,Hạ phẩm,99,Tăng nhẹ cơ hội cá linh,,NPC,,,20,20,market,none,False,life_loop,future_design
it_life_spiritrice,Linh Mễ,Đời sống,Thực phẩm,0,Phàm Nhân,Hạ phẩm,99,Nấu thức ăn/hồi thể lực,,Trồng trọt,,,20,20,market,none,False,life_loop,future_design
it_life_tea,Thanh Tâm Trà,Đời sống,Thực phẩm,1,Luyện Khí sơ (1-3),Trung phẩm,99,Ngoài combat: +5% hồi linh 10 phút,,Nấu ăn,,,30,40,market,none,False,life_loop,future_design
it_life_meat,Yêu Thú Nhục,Đời sống,Thực phẩm,1,Luyện Khí sơ (1-3),Trung phẩm,99,Nấu ăn/buff thể lực,,Yêu thú,,,30,40,market,none,False,life_loop,future_design
it_life_ink,Phù Mặc,Đời sống,Chế tạo,1,Luyện Khí sơ (1-3),Trung phẩm,99,Nguyên liệu luyện phù,Nguyên liệu luyện phù,Chế tạo,,,30,40,market,none,False,life_loop,future_design
it_life_paper,Linh Phù Chỉ,Đời sống,Chế tạo,1,Luyện Khí sơ (1-3),Trung phẩm,99,Nguyên liệu luyện phù,Nguyên liệu luyện phù,NPC/Chế tạo,,,30,40,market,none,False,life_loop,future_design
it_spirit_dust,Linh sa,Nguyên liệu,Tinh luyện,1,Luyện Khí sơ (1-3),Trung phẩm,99,,Hộ Thân Phù/cường hóa,Thạch Vệ/boss,,10,20,35,market,none,False,enhancement_material,mvp_contract
it_venom,Độc tố,Nguyên liệu quái,Độc liệu,1,Luyện Khí sơ (1-3),Hạ phẩm,99,,Future poison recipes,Dự trữ catalog; chưa phát loot,,,,,disabled,none,False,inactive_reserve,mvp_contract
it_mat_refining_sand,Tinh Luyện Sa,Nguyên liệu,Tinh luyện,2,Luyện Khí trung (4-6),Trung phẩm,99,,Tinh luyện/hoàn vật liệu enhancement,Phân giải trang bị/tinh anh,,,35,45,market,none,False,craft_material,future_design
it_mat_binding_thread,Khóa Linh Ti,Nguyên liệu,Tinh luyện,2,Luyện Khí trung (4-6),Thượng phẩm,99,,Tinh luyện/pháp bảo,Bí cảnh/chế tạo,,,45,55,market,none,False,craft_material,future_design
it_mach_ban,Mạch Bàn,Đặc biệt,Công cụ nhiệm vụ,0,Phàm Nhân,Trung phẩm,1,Công cụ dò mạch cho nhiệm vụ,,Main 002,,,,,bound,character_bound,False,quest,mvp_contract
it_water_sample,Mẫu nước,Đặc biệt,Nhiệm vụ,0,Phàm Nhân,Phàm,1,Mẫu nhiệm vụ; không có tác dụng chiến đấu,,Main 002,,,,,bound,character_bound,False,quest,mvp_contract
it_ledger,Sổ ghi,Đặc biệt,Nhiệm vụ,1,Luyện Khí sơ (1-3),Trung phẩm,1,Chứng cứ nhiệm vụ,,Main 007,,,,,bound,character_bound,False,quest,mvp_contract
it_array_shard,Mảnh trận,Đặc biệt,Nhiệm vụ,1,Luyện Khí sơ (1-3),Trung phẩm,1,Dấu/sơ đồ trận cho nhiệm vụ,,Main 007,,,,,bound,character_bound,False,quest,mvp_contract
it_well_key,Chìa giếng,Đặc biệt,Nhiệm vụ,1,Luyện Khí sơ (1-3),Trung phẩm,1,Quyền vào Cổ Tỉnh theo nhiệm vụ,,Main 009,,,,,bound,character_bound,False,quest,mvp_contract
it_key_beast,Liệp Yêu Lệnh,Đặc biệt,Chìa khóa,3,Luyện Khí hậu (7-9),Thượng phẩm,20,Triệu hồi boss săn yêu theo nhóm,,Liệp Yêu nhiệm vụ,,,,,hold,bind_on_use,True,future_access,future_design
