id,name,group,kind,realmIndex,realm,rarity,stack,effect,craftUse,source,npcSell,npcBuy,marketMin,marketMax,marketPolicy,bindPolicy,destroyOnUse,economicRole,runtimeStatus
it_herb_bone,Long Cốt Thảo,Linh thảo,Dược thảo,3,Luyện Khí hậu (7-9),Thượng phẩm,50,,Hộ Mạch Đan,Bí cảnh,,,50,60,market,none,False,craft_material,future_design
it_herb_fivecolor,Ngũ Sắc Liên,Linh thảo,Dược thảo,4,Trúc Cơ sơ,Cực phẩm,50,,Trúc Cơ Đan,Trúc Cơ Bí Cảnh,,,80,100,market,none,False,craft_material,future_design
it_herb_thunder,Lôi Tâm Thảo,Linh thảo,Dược thảo,4,Trúc Cơ sơ,Thượng phẩm,50,,Lôi dược/phù,Khu vực lôi bạo,,,65,85,market,none,False,craft_material,future_design
it_herb_soul,Dưỡng Hồn Chi,Linh thảo,Dược thảo,4,Trúc Cơ sơ,Cực phẩm,50,,Dưỡng Thần Đan,Cổ Tu Động Phủ sâu,,,80,100,market,none,False,craft_material,future_design
it_herb_poison,Hắc Vụ Cô,Linh thảo,Dược thảo,3,Luyện Khí hậu (7-9),Thượng phẩm,50,,Bách Độc Hoàn,Âm Vụ Đầm,,,50,60,market,none,False,craft_material,future_design
it_herb_spring,Trường Xuân Đằng,Linh thảo,Dược thảo,5,Trúc Cơ trung,Cực phẩm,50,,Đan hồi phục cao cấp,Bí cảnh Mộc,,,110,140,market,none,False,craft_material,future_design
it_iron,Thiết quặng,Nguyên liệu,Khoáng,0,Phàm Nhân,Hạ phẩm,99,,Thanh Thiết Kiếm/cường hóa,Thạch Cạn/node/Kẻ Rình Đường,,10,12,22,market,none,False,craft_material,mvp_contract
it_bamboo,Trúc,Nguyên liệu,Mộc liệu,0,Phàm Nhân,Hạ phẩm,99,,Cầu/Thanh Thiết Kiếm/Thoát Thân Phù,Tuyến an toàn Trúc Âm,,10,12,20,market,none,False,craft_material,mvp_contract
it_mat_blackiron,Huyền Thiết,Nguyên liệu,Khoáng,1,Luyện Khí sơ (1-3),Trung phẩm,99,,Đao/giáp,Huyền Thiết Mạch,,,25,35,market,none,False,craft_material,future_design
it_mat_copper,Xích Đồng,Nguyên liệu,Khoáng,1,Luyện Khí sơ (1-3),Trung phẩm,99,,Pháp khí/phù,Hỏa Thạch Động,,,25,35,market,none,False,craft_material,future_design
it_mat_jade,Thanh Ngọc,Nguyên liệu,Ngọc liệu,2,Luyện Khí trung (4-6),Trung phẩm,99,,Trang sức/pháp khí,Linh Tuyền,,,35,45,market,none,False,craft_material,future_design
it_mat_spiritwood,Linh Mộc,Nguyên liệu,Mộc liệu,2,Luyện Khí trung (4-6),Trung phẩm,99,,Trượng/quạt/trận kỳ,Trúc Lâm sâu,,,35,45,market,none,False,craft_material,future_design
it_mat_firestone,Hỏa Tinh Thạch,Nguyên liệu,Khoáng,2,Luyện Khí trung (4-6),Thượng phẩm,99,,Hỏa khí/Hỏa phù,Hỏa Thạch Động,,,45,55,market,none,False,craft_material,future_design
it_mat_windstone,Phong Linh Thạch,Nguyên liệu,Khoáng,2,Luyện Khí trung (4-6),Thượng phẩm,99,,Giày/pháp khí cơ động,Phong Lang Lĩnh,,,45,55,market,none,False,craft_material,future_design
it_mat_coldiron,Hàn Thiết,Nguyên liệu,Khoáng,3,Luyện Khí hậu (7-9),Thượng phẩm,99,,Vũ khí Thủy/Kim,Âm Vụ Đầm,,,60,80,market,none,False,craft_material,future_design
it_mat_earthcrystal,Địa Tinh,Nguyên liệu,Khoáng,3,Luyện Khí hậu (7-9),Thượng phẩm,99,,Giáp/thương/trận,Huyền Thiết Mạch sâu,,,60,80,market,none,False,craft_material,future_design
it_mat_cloudsilk,Vân Ti,Nguyên liệu,Tơ liệu,3,Luyện Khí hậu (7-9),Thượng phẩm,99,,Pháp bào,Thanh Vân,,,60,80,market,none,False,craft_material,future_design
it_mat_spiritjade,Linh Ngọc,Nguyên liệu,Ngọc liệu,4,Trúc Cơ sơ,Cực phẩm,99,,Pháp bảo/trang sức,Trúc Cơ Bí Cảnh,,,100,130,market,none,False,craft_material,future_design
it_mat_thunderore,Lôi Tinh,Nguyên liệu,Khoáng,4,Trúc Cơ sơ,Cực phẩm,99,,Lôi pháp khí,Khu vực lôi bạo,,,100,130,market,none,False,craft_material,future_design
it_mat_starsteel,Tinh Thần Thiết,Nguyên liệu,Khoáng,5,Trúc Cơ trung,Cực phẩm,99,,Vũ khí Trúc Cơ,Cổ Tu Động Phủ sâu,,,140,180,market,none,False,craft_material,future_design
it_mat_formationink,Trận Văn Mực,Nguyên liệu,Vật liệu trận,4,Trúc Cơ sơ,Thượng phẩm,99,,Trận kỳ/phù cao cấp,Luyện chế,,,90,110,market,none,False,craft_material,future_design
it_mon_wolffang,Phong Lang Nha,Nguyên liệu quái,Bộ phận yêu thú,1,Luyện Khí sơ (1-3),Hạ phẩm,99,,Vũ khí xuyên/đồ săn,Phong Lang,,,30,40,market,none,False,craft_material,future_design
it_boar_hide,Da Sơn Trư,Nguyên liệu quái,Da yêu thú,0,Phàm Nhân,Hạ phẩm,99,,Bán NPC; future leather craft,Sơn Trư,,30,30,50,market,none,False,faucet_material,mvp_contract
it_mon_snakegall,Huyết Xà Đảm,Nguyên liệu quái,Dược liệu yêu thú,2,Luyện Khí trung (4-6),Trung phẩm,99,,Đan huyết/độc,Huyết Xà,,,50,60,market,none,False,craft_material,future_design
it_mon_snakeskin,Huyết Xà Bì,Nguyên liệu quái,Da yêu thú,2,Luyện Khí trung (4-6),Trung phẩm,99,,Đai/giáp nhẹ,Huyết Xà,,,50,60,market,none,False,craft_material,future_design
it_mon_beetleshell,Thiết Giáp Xác,Nguyên liệu quái,Giáp xác,2,Luyện Khí trung (4-6),Trung phẩm,99,,Giáp nặng,Thiết Giáp Trùng,,,50,60,market,none,False,craft_material,future_design
