id,itemId,name,slot,build,realmIndex,realm,rarity,atk,def,hp,spirit,critPct,movePct,penPct,specialEffect,source,marketMin,marketMax,marketPolicy,bindPolicy,economicRole,runtimeStatus,balanceNote
eq_wp_fire_staff,it_wp_fire_staff,Xích Hỏa Trượng,Vũ khí,Pháp,2,Luyện Khí trung (4-6),Thượng phẩm,22,0,0,24,0,0,0,Hỏa skill +5% damage; +4% linh lực cost,Hỏa Thạch Động,655,805,market,bind_on_equip,gear_sink,future_design,Damage đổi cost
eq_wp_jade_fan,it_wp_jade_fan,Thanh Ngọc Phiến,Vũ khí,Hỗ trợ,2,Luyện Khí trung (4-6),Thượng phẩm,18,0,0,28,0,0,0,Buff/heal +6% hiệu lực,Tông môn ngoại môn,655,805,market,bind_on_equip,gear_sink,future_design,Solo DPS thấp
eq_wp_storm_blade,it_wp_storm_blade,Phong Lôi Đao,Vũ khí,Đao,3,Luyện Khí hậu (7-9),Thượng phẩm,37,0,0,0,2,0,3,Đòn nặng sau dash +8% damage,Boss Phong Lang Vương,1020,1250,market,bind_on_equip,gear_sink,future_design,Phụ thuộc combo
eq_wp_azure_sword,it_wp_azure_sword,Thanh Vân Kiếm,Vũ khí,Kiếm,3,Luyện Khí hậu (7-9),Cực phẩm,36,0,0,18,3,0,0,Trúng 3 kiếm kỹ: +6% move 3s,Bí cảnh Thanh Vân,1210,1480,market,bind_on_equip,gear_sink,future_design,Mobility có điều kiện
eq_wp_earth_spear,it_wp_earth_spear,Địa Mạch Thương,Vũ khí,Thương,3,Luyện Khí hậu (7-9),Thượng phẩm,34,5,0,0,0,0,0,Kỹ năng giữ vị trí +6% shield nhận được,Huyền Thiết Mạch,1020,1250,market,bind_on_equip,gear_sink,future_design,Defensive spear
eq_wp_blood_claw,it_wp_blood_claw,Huyết Trảo,Vũ khí,Quyền,4,Trúc Cơ sơ,Thượng phẩm,48,0,80,0,2,0,0,"Đánh cận chiến hồi 1% HP, tối đa 1 lần/2s",Boss Huyết Xà Vương,1600,1960,market,bind_on_equip,gear_sink,future_design,Lifesteal bị cap
eq_wp_thunder_bow,it_wp_thunder_bow,Lôi Tước Cung,Vũ khí,Cung,4,Trúc Cơ sơ,Cực phẩm,46,0,0,30,4,0,0,"Mỗi 5 phát gây tia sét 35% ATK, PvP 25%",Trúc Cơ Bí Cảnh,1900,2320,market,bind_on_equip,gear_sink,future_design,Proc theo chu kỳ
eq_wp_spirit_staff,it_wp_spirit_staff,Ngũ Hành Pháp Trượng,Vũ khí,Pháp,5,Trúc Cơ trung,Cực phẩm,60,0,0,55,0,0,0,"Đổi nguyên tố: skill cùng hệ +6%, khác hệ -3%",Chế tạo Trúc Cơ,2765,3375,market,bind_on_equip,gear_sink,future_design,Khuyến khích chuyên hệ
eq_helm_cloth,it_helm_cloth,Khăn Vải Tu Sĩ,Mũ,Đa dụng,0,Phàm Nhân,Phàm,0,3,20,0,0,0,0,,Khởi đầu,,,bound,character_bound,progression_baseline,future_design,
eq_armor_cloth,it_cloth_armor,Đạo Bào Vải,Áo,Đa dụng,0,Phàm Nhân,Phàm,0,6,40,0,0,0,0,,Khởi đầu,,,bound,character_bound,progression_baseline,mvp_contract,
eq_boot_straw,it_boot_straw,Thảo Ngoa,Giày,Đa dụng,0,Phàm Nhân,Phàm,0,1,0,0,0,2,0,,Khởi đầu,,,bound,character_bound,progression_baseline,future_design,
eq_belt_leather,it_belt_leather,Đai Da,Đai,Đa dụng,0,Phàm Nhân,Hạ phẩm,0,2,28,0,0,0,0,,Thợ săn,215,265,market,bind_on_equip,gear_sink,future_design,
eq_helm_iron,it_helm_iron,Huyền Thiết Quan,Mũ,Bruiser,1,Luyện Khí sơ (1-3),Trung phẩm,0,11,40,0,0,0,0,+4% kháng stagger,Chế tạo,325,395,market,bind_on_equip,gear_sink,future_design,
eq_armor_green,it_armor_green,Thanh Trúc Pháp Bào,Áo,Pháp/Hỗ trợ,1,Luyện Khí sơ (1-3),Trung phẩm,0,10,55,16,0,0,0,+3% hồi linh ngoài combat,Tông môn,325,395,market,bind_on_equip,gear_sink,future_design,
eq_boot_wind,it_boot_wind,Khinh Phong Ngoa,Giày,Cơ động,1,Luyện Khí sơ (1-3),Trung phẩm,0,5,22,0,0,4,0,Dash stamina/linh lực cost -3%,Phong Lang Lĩnh,325,395,market,bind_on_equip,gear_sink,future_design,
